Name,URL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2016.06.03_tmp,2016.06.11,2016.06.11.1,2016.06.11.3,2016.06.12,2016.06.14,2016.06.16,2016.06.18.1,2016.06.19,2016.06.19.1
tensorflow/models,https://github.com/tensorflow/models,v1.4.0,v.1.6.0,v1.7.0,v1.8.0,v1.8.1,v1.9.0,v1.10.0,v1.11,v2.0,v2.1.0
nvbn/thefuck,https://github.com/nvbn/thefuck,3.16,3.17,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25
huggingface/transformers,https://github.com/huggingface/transformers,v0.1.2,v0.2.0,v0.3.0,v0.4.0,v0.5.0,v0.5.1,v0.6.0,v0.6.1,v0.6.2,v1.0.0
pallets/flask,https://github.com/pallets/flask,0.12.3,1.0,0.12.4,1.0.1,1.0.2,1.0.3,1.0.4,1.1.0,1.1.1,1.1.2
keras-team/keras,https://github.com/keras-team/keras,2.0.4,2.0.0,2.0.5,2.0.6,2.0.7,2.0.8,2.0.9,2.1.0,2.1.1,2.1.2
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,0.17.1-1,0.18,0.18.1,0.19.1,0.20.0,0.20.1,0.19.2,0.20.2,0.20.3,0.21.0
tiangolo/fastapi,https://github.com/tiangolo/fastapi,0.1.11,v0.1.16,0.1.17,0.1.19,0.2.0,0.2.1,0.3.0,0.4.0,0.5.0,0.5.1
scrapy/scrapy,https://github.com/scrapy/scrapy,1.2.0,1.2.1,1.2.2,1.4.0,1.3.3,1.5.0,1.6.0,1.7.0,1.7.2,1.7.3
localstack/localstack,https://github.com/localstack/localstack,v0.1.16,v0.2.0,v0.3.0,v0.3.10,v0.10.0,v0.10.2,v0.10.3,v0.10.4,v0.10.5,v0.10.6
3b1b/manim,https://github.com/3b1b/manim,v0.2.0,v1.0.0,v1.1.0,v1.2.0,v1.3.0,v1.4.0,v1.4.1,v1.5.0,v1.6.0,v1.6.1
soimort/you-get,https://github.com/soimort/you-get,v0.3.16,v0.3.17,v0.3.18,v0.3.20,v0.3.21,v0.3.22,v0.3.23,v0.3.24,v0.3.25,v0.3.26
scrapy/scrapy,https://github.com/scrapy/scrapy,1.2.0,1.2.1,1.2.2,1.4.0,1.3.3,1.5.0,1.6.0,1.7.0,1.7.2,1.7.3
localstack/localstack,https://github.com/localstack/localstack,v0.1.16,v0.2.0,v0.3.0,v0.3.10,v0.10.0,v0.10.2,v0.10.3,v0.10.4,v0.10.5,v0.10.6
Textualize/rich,https://github.com/Textualize/rich,v0.3.2,v0.3.3,v0.6.0,v0.7.1,v0.7.2,v0.8.0,v0.8.3,v0.8.5,v0.8.6,v0.8.7
commaai/openpilot,https://github.com/commaai/openpilot,v0.4.1,v0.5.7,v0.5.8,v0.5.9,v0.5.10,v0.5.11,v0.5.12,v0.5.13,v0.6,v0.6.1
pandas-dev/pandas,https://github.com/pandas-dev/pandas,v0.13.0,v0.13.1,v0.14.0rc1,v0.14.0,v0.14.1,v0.15pre,v0.15.0rc1,v0.15.0,v0.15.1,v0.15.2pre
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,v0.1,v0.2,v0.3,v0.4,v0.5,v0.6,v0.61,v0.7,v1.0.0-rc0,v1.0.0
XX-net/XX-Net,https://github.com/XX-net/XX-Net,1.0.0,1.0.2,1.0.3,1.0.4,1.0.5,1.0.6,1.0.7,1.0.9,1.1.0,1.2.0
