Name,URL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2016-06-03T21:57:16Z,2016-06-10T19:41:48Z,2016-06-10T20:00:08Z,2016-06-11T01:34:30Z,2016-06-12T05:06:48Z,2016-06-13T19:19:42Z,2016-06-16T15:41:27Z,2016-06-17T23:21:19Z,2016-06-18T19:30:47Z,2016-06-18T20:57:51Z
tensorflow/models,https://github.com/tensorflow/models,2018-01-25T19:00:00Z,2018-02-16T20:46:16Z,2018-03-20T20:02:28Z,2018-04-03T20:13:55Z,2018-05-01T16:37:49Z,2018-06-01T20:35:58Z,2018-07-16T18:44:52Z,2018-09-01T00:32:12Z,2019-10-15T20:37:00Z,2020-01-07T19:26:03Z
nvbn/thefuck,https://github.com/nvbn/thefuck,2017-04-10T21:16:06Z,2017-05-10T13:34:06Z,2017-05-10T14:51:19Z,2017-08-03T09:34:01Z,2017-08-16T09:28:59Z,2017-08-21T10:26:19Z,2017-08-29T03:02:16Z,2017-08-29T07:39:32Z,2017-10-16T18:11:01Z,2017-11-23T19:51:04Z
huggingface/transformers,https://github.com/huggingface/transformers,2018-11-26T09:45:48Z,2018-11-26T09:45:48Z,2018-11-30T22:10:30Z,2018-12-14T14:15:47Z,2019-02-11T13:19:26Z,2019-02-13T09:19:25Z,2019-02-18T10:38:05Z,2019-02-18T11:00:11Z,2019-04-25T19:37:47Z,2019-07-16T14:18:37Z
pallets/flask,https://github.com/pallets/flask,2018-04-26T19:12:11Z,2018-04-26T19:25:54Z,2018-04-30T01:23:30Z,2018-04-30T02:08:16Z,2018-05-02T14:16:14Z,2019-05-17T17:57:51Z,2019-07-04T22:33:46Z,2019-07-04T23:04:42Z,2019-07-08T17:58:12Z,2020-04-03T17:10:38Z
keras-team/keras,https://github.com/keras-team/keras,2017-04-29T23:18:54Z,2017-03-14T15:34:11Z,2017-06-12T18:46:21Z,2017-07-07T20:48:29Z,2017-08-21T22:13:50Z,2017-08-25T19:01:46Z,2017-11-01T20:03:25Z,2017-11-13T19:52:31Z,2017-11-14T21:40:18Z,2017-12-01T18:12:33Z
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,2016-02-18T13:30:46Z,2016-09-27T20:20:36Z,2016-11-11T22:15:17Z,2017-10-21T23:28:04Z,2018-09-25T15:06:34Z,2018-11-22T23:45:09Z,2018-07-15T15:31:59Z,2018-12-19T08:52:01Z,2019-03-01T09:07:29Z,2019-05-09T22:53:00Z
tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-15T17:59:25Z,2018-12-30T17:46:49Z,2019-01-05T13:38:59Z,2019-02-01T10:23:20Z,2019-02-08T12:09:48Z,2019-02-12T17:46:35Z,2019-02-12T19:07:54Z,2019-02-14T19:04:55Z,2019-02-16T13:06:31Z,2019-02-18T18:52:03Z
scrapy/scrapy,https://github.com/scrapy/scrapy,2016-10-03T11:04:11Z,2016-10-21T08:37:45Z,2016-12-06T14:21:00Z,2017-05-18T21:01:05Z,2017-03-10T15:30:10Z,2017-12-29T21:09:52Z,2019-01-30T21:00:40Z,2019-07-18T13:38:25Z,2019-07-23T11:32:27Z,2019-08-01T15:07:54Z
localstack/localstack,https://github.com/localstack/localstack,2016-12-10T11:20:20Z,2016-12-19T02:30:35Z,2017-02-10T06:24:09Z,2017-04-19T23:27:33Z,2019-08-03T18:13:39Z,2019-08-13T18:19:01Z,2019-09-15T20:07:44Z,2019-10-05T17:19:18Z,2019-11-07T00:00:47Z,2019-12-12T12:11:33Z
3b1b/manim,https://github.com/3b1b/manim,2020-11-29T11:23:47Z,2021-02-14T15:16:50Z,2021-07-28T15:18:24Z,2021-10-16T05:07:26Z,2021-12-14T05:41:44Z,2022-01-30T05:06:22Z,2022-02-04T03:03:37Z,2022-02-16T04:01:03Z,2022-04-07T03:00:43Z,2022-04-13T02:36:38Z
soimort/you-get,https://github.com/soimort/you-get,2013-06-27T15:56:15Z,2013-07-11T08:58:25Z,2013-07-19T00:26:05Z,2013-08-15T13:52:51Z,2013-08-17T07:15:53Z,2013-10-18T13:03:26Z,2013-10-23T04:23:46Z,2013-10-30T07:49:33Z,2013-12-20T02:13:50Z,2014-02-08T03:40:21Z
scrapy/scrapy,https://github.com/scrapy/scrapy,2016-10-03T11:04:11Z,2016-10-21T08:37:45Z,2016-12-06T14:21:00Z,2017-05-18T21:01:05Z,2017-03-10T15:30:10Z,2017-12-29T21:09:52Z,2019-01-30T21:00:40Z,2019-07-18T13:38:25Z,2019-07-23T11:32:27Z,2019-08-01T15:07:54Z
localstack/localstack,https://github.com/localstack/localstack,2016-12-10T11:20:20Z,2016-12-19T02:30:35Z,2017-02-10T06:24:09Z,2017-04-19T23:27:33Z,2019-08-03T18:13:39Z,2019-08-13T18:19:01Z,2019-09-15T20:07:44Z,2019-10-05T17:19:18Z,2019-11-07T00:00:47Z,2019-12-12T12:11:33Z
Textualize/rich,https://github.com/Textualize/rich,2020-01-26T16:09:22Z,2020-02-04T18:28:55Z,2020-03-02T17:32:47Z,2020-03-13T14:59:16Z,2020-03-15T15:50:10Z,2020-03-17T17:15:10Z,2020-03-27T10:24:02Z,2020-03-29T12:59:00Z,2020-03-29T12:59:00Z,2020-03-31T13:25:49Z
commaai/openpilot,https://github.com/commaai/openpilot,2018-01-31T06:03:24Z,2018-12-18T03:36:42Z,2019-02-01T01:01:04Z,2019-02-25T18:54:11Z,2019-04-02T07:30:34Z,2019-05-09T23:45:28Z,2019-05-22T22:36:17Z,2019-06-06T04:38:45Z,2019-07-03T19:25:35Z,2019-07-24T18:45:53Z
pandas-dev/pandas,https://github.com/pandas-dev/pandas,2013-12-30T17:02:51Z,2014-02-03T04:52:01Z,2014-05-16T22:28:09Z,2014-05-30T11:47:40Z,2014-07-10T23:46:19Z,2014-09-07T12:52:01Z,2014-10-07T00:39:07Z,2014-10-18T22:52:46Z,2014-11-08T13:14:33Z,2014-11-21T14:05:11Z
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,2017-09-11T03:53:41Z,2017-09-17T21:42:45Z,2017-10-03T16:32:26Z,2017-10-25T20:34:06Z,2017-11-26T04:41:00Z,2018-02-27T22:29:53Z,2018-02-28T00:51:41Z,2018-07-25T01:53:03Z,2019-01-25T07:24:00Z,2020-03-07T01:44:51Z
XX-net/XX-Net,https://github.com/XX-net/XX-Net,2015-01-16T13:19:35Z,2015-01-20T20:10:09Z,2015-01-28T14:12:46Z,2015-01-31T03:57:39Z,2015-02-04T09:22:01Z,2015-02-04T22:52:17Z,2015-02-16T03:41:12Z,2015-02-17T03:44:47Z,2015-03-04T09:43:12Z,2015-03-07T07:53:26Z
getsentry/sentry,https://github.com/getsentry/sentry,2015-07-28T20:41:30Z,2016-01-08T22:30:59Z,2016-01-13T18:13:45Z,2016-01-19T19:58:23Z,2016-01-22T22:37:55Z,2016-01-23T01:22:50Z,2016-01-28T06:04:02Z,2016-02-01T21:09:46Z,2016-02-01T22:54:10Z,2016-02-02T01:43:42Z
certbot/certbot,https://github.com/certbot/certbot,2019-11-06T02:32:21Z,2019-12-03T17:27:29Z,2020-01-14T18:52:04Z,2020-02-04T22:01:02Z,2020-03-03T20:43:02Z,2020-05-05T20:44:22Z,2020-06-02T17:32:39Z,2020-07-07T17:33:14Z,2020-08-04T18:33:04Z,2020-09-08T16:59:32Z
openai/gym,https://github.com/openai/gym,2017-02-01T03:44:00Z,2017-03-05T21:56:47Z,2018-01-24T23:42:29Z,2018-01-29T18:04:01Z,2019-05-29T00:53:23Z,2021-08-13T04:19:37Z,2021-09-01T18:27:01Z,2021-09-29T00:26:54Z,2022-02-17T18:46:19Z,2022-03-04T20:50:53Z
psf/black,https://github.com/psf/black,2019-03-14T17:09:10Z,2019-10-28T22:02:39Z,2020-08-26T14:22:51Z,2020-08-26T15:50:52Z,2021-04-25T22:12:27Z,2021-04-27T14:40:08Z,2021-04-28T14:50:02Z,2021-05-04T19:49:20Z,2021-05-10T15:01:53Z,2021-05-31T14:25:54Z
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,2013-08-24T22:37:35Z,2014-11-14T23:52:26Z,2014-12-28T23:45:38Z,2014-12-29T21:02:45Z,2015-07-21T22:41:02Z,2015-11-06T00:52:08Z,2015-12-03T17:13:24Z,2016-02-14T16:04:47Z,2016-04-10T01:31:19Z,2016-04-22T03:01:41Z
hankcs/HanLP,https://github.com/hankcs/HanLP,2015-02-04T03:55:32Z,2015-03-27T05:51:15Z,2015-03-31T11:32:26Z,2015-04-02T13:25:43Z,2015-04-15T08:36:31Z,2015-04-28T11:08:57Z,2015-05-02T15:20:56Z,2015-05-07T13:26:52Z,2015-05-08T03:47:36Z,2015-05-11T06:06:03Z
apache/airflow,https://github.com/apache/airflow,2015-08-18T22:03:42Z,2015-09-04T06:10:30Z,2015-09-04T16:45:15Z,2015-10-23T05:58:23Z,2015-11-13T00:52:06Z,2015-11-15T06:18:36Z,2016-01-04T20:19:18Z,2016-03-28T19:35:09Z,2019-07-15T13:35:35Z,2019-04-06T13:18:05Z
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2021-01-07T11:52:46Z,2021-01-07T20:35:52Z,2021-01-08T17:24:34Z,2021-01-09T12:44:11Z,2021-01-10T22:39:08Z,2021-01-12T22:23:49Z,2021-01-14T16:24:03Z,2021-01-16T18:54:52Z,2021-01-20T21:21:45Z,2021-01-24T20:07:09Z
encode/django-rest-framework,https://github.com/encode/django-rest-framework,2017-10-06T12:05:16Z,2017-10-16T13:16:58Z,2017-11-06T11:06:58Z,2017-11-06T15:36:45Z,2017-12-20T14:32:37Z,2017-12-21T12:09:47Z,2018-04-03T13:36:49Z,2018-04-04T19:11:43Z,2018-04-06T13:42:31Z,2018-10-18T10:50:08Z
explosion/spaCy,https://github.com/explosion/spaCy,2016-10-18T23:24:22Z,2016-10-23T16:53:34Z,2016-11-05T01:35:37Z,2016-12-03T10:55:22Z,2016-12-18T22:54:39Z,2016-12-27T21:19:19Z,2017-01-16T13:02:12Z,2017-03-18T19:04:22Z,2017-03-19T00:44:43Z,2017-03-20T12:20:26Z
pypa/pipenv,https://github.com/pypa/pipenv,2018-06-25T08:04:17Z,2018-07-01T21:00:44Z,2018-10-09T07:09:24Z,2018-11-14T23:35:38Z,2018-10-13T21:15:28Z,2018-11-26T06:56:25Z,2020-04-29T00:53:36Z,2020-04-29T04:02:33Z,2020-05-20T20:12:16Z,2020-05-28T04:50:17Z
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,2016-11-16T06:35:33Z,2016-12-02T13:41:08Z,2016-12-04T05:51:20Z,2016-12-07T12:04:30Z,2016-12-22T11:15:08Z,2017-02-08T08:43:27Z,2017-03-03T09:31:35Z,2017-03-08T02:41:55Z,2017-03-17T02:33:41Z,2017-03-23T05:18:15Z
getredash/redash,https://github.com/getredash/redash,2014-02-25T06:38:32Z,2014-12-25T13:58:10Z,2014-12-30T05:52:07Z,2015-01-12T16:17:41Z,2015-01-13T20:35:32Z,2015-01-14T10:35:13Z,2015-01-18T07:21:32Z,2015-01-18T07:22:41Z,2015-01-18T08:11:27Z,2015-01-19T07:14:32Z
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,2020-02-07T01:22:13Z,2020-02-25T19:11:31Z,2020-05-04T17:48:25Z,2020-05-16T08:17:41Z,2020-07-08T21:04:49Z,2020-07-30T07:23:23Z,2020-11-06T02:23:48Z,2021-03-13T01:21:35Z,2021-07-23T16:28:18Z,2021-10-26T02:11:12Z
StevenBlack/hosts,https://github.com/StevenBlack/hosts,2018-03-03T20:24:41Z,2018-03-03T22:05:50Z,2018-03-04T10:19:36Z,2018-03-04T19:04:13Z,2018-03-05T01:54:49Z,2018-03-07T04:54:50Z,2018-03-08T11:33:16Z,2018-03-10T01:07:10Z,2018-03-10T16:54:34Z,2018-03-13T03:58:16Z
nicolargo/glances,https://github.com/nicolargo/glances,2015-05-28T20:10:45Z,2015-05-20T15:24:34Z,2015-05-20T08:17:10Z,2015-10-05T19:23:31Z,2015-10-10T09:27:11Z,2016-03-16T16:45:55Z,2016-03-26T16:47:44Z,2016-05-12T08:59:26Z,2016-09-10T09:28:38Z,2017-01-21T14:21:33Z
numpy/numpy,https://github.com/numpy/numpy,2016-11-16T23:40:31Z,2016-12-18T22:20:53Z,2016-12-19T22:22:00Z,2017-01-01T19:29:55Z,2017-01-15T19:58:34Z,2017-03-06T23:59:44Z,2017-03-18T15:36:51Z,2017-05-10T22:30:50Z,2017-05-18T18:11:13Z,2017-06-07T15:46:43Z
ray-project/ray,https://github.com/ray-project/ray,2017-05-21T06:25:01Z,2017-06-27T05:28:08Z,2017-06-27T05:36:40Z,2017-08-30T04:38:35Z,2017-10-01T19:33:13Z,2017-11-02T03:41:24Z,2017-11-28T07:02:29Z,2018-02-04T21:25:25Z,2018-03-27T05:37:16Z,2018-07-07T05:31:33Z
