id,Name,Stargazers,Age,Num_of_Releases
0,ytdl-org/youtube-dl,109590,11.0,341
1,tensorflow/models,73508,6.0,21
2,nvbn/thefuck,70670,7.0,17
3,huggingface/transformers,62003,3.0,89
4,pallets/flask,58839,12.0,19
5,keras-team/keras,55102,7.0,38
6,scikit-learn/scikit-learn,49908,11.0,26
7,tiangolo/fastapi,44584,3.0,121
8,scrapy/scrapy,43405,12.0,25
9,localstack/localstack,40664,5.0,47
10,3b1b/manim,44155,7.0,10
11,soimort/you-get,43849,9.0,115
12,scrapy/scrapy,43405,12.0,25
13,localstack/localstack,40664,5.0,47
14,Textualize/rich,37167,2.0,133
15,commaai/openpilot,34326,5.0,44
16,pandas-dev/pandas,33789,11.0,85
17,d2l-ai/d2l-zh,32022,4.0,14
18,XX-net/XX-Net,31214,7.0,322
19,getsentry/sentry,30783,11.0,88
20,certbot/certbot,28877,7.0,30
21,openai/gym,27425,6.0,11
22,psf/black,27173,4.0,20
23,mitmproxy/mitmproxy,26916,12.0,44
24,hankcs/HanLP,25780,7.0,56
25,apache/airflow,25725,7.0,47
26,yt-dlp/yt-dlp,24541,1.0,52
27,encode/django-rest-framework,23312,11.0,14
28,explosion/spaCy,23262,7.0,97
29,pypa/pipenv,22926,5.0,29
30,littlecodersh/ItChat,22156,6.0,13
32,getredash/redash,20984,8.0,98
33,facebookresearch/detectron2,20770,2.0,10
34,StevenBlack/hosts,20706,10.0,424
35,nicolargo/glances,20382,10.0,28
36,numpy/numpy,20329,11.0,82
37,ray-project/ray,20274,5.0,55
38,httpie/httpie,20266,10.0,42
39,microsoft/cascadia-code,19846,2.0,17
40,python-poetry/poetry,19563,4.0,108
41,open-mmlab/mmdetection,19512,3.0,33
42,celery/celery,19246,13.0,34
43,streamlit/streamlit,18862,2.0,36
44,locustio/locust,18769,11.0,76
45,python-telegram-bot/python-telegram-bot,18425,6.0,88
46,PyTorchLightning/pytorch-lightning,18281,3.0,90
47,rwightman/pytorch-image-models,18204,3.0,31
48,mingrammer/diagrams,18138,2.0,35
49,magenta/magenta,17580,6.0,47
50,google/jax,17351,3.0,32
51,freqtrade/freqtrade,17267,5.0,56
52,pytorch/fairseq,16826,4.0,13
53,cookiecutter/cookiecutter,16834,8.0,19
54,plotly/dash,16371,7.0,39
55,sanic-org/sanic,16085,6.0,57
56,Eloston/ungoogled-chromium,14480,6.0,60
57,facebook/prophet,14384,5.0,10
58,RasaHQ/rasa,13917,5.0,148
59,rsms/inter,13741,4.0,52
60,ArchiveBox/ArchiveBox,13312,5.0,23
61,powerline/powerline,13271,10.0,21
62,d2l-ai/d2l-en,13242,3.0,10
63,youfou/wxpy,13238,5.0,14
64,pyg-team/pytorch_geometric,14525,4.0,31
65,jina-ai/jina,14507,2.0,196
66,Eloston/ungoogled-chromium,14480,6.0,60
67,facebook/prophet,14384,5.0,10
68,joke2k/faker,14101,9.0,119
69,RasaHQ/rasa,13917,5.0,148
70,rsms/inter,13741,4.0,52
71,ArchiveBox/ArchiveBox,13312,5.0,23
72,powerline/powerline,13271,10.0,21
73,d2l-ai/d2l-en,13242,3.0,10
74,youfou/wxpy,13238,5.0,14
75,huggingface/datasets,13174,2.0,46
76,RaRe-Technologies/gensim,13142,11.0,41
77,microsoft/recommenders,13020,3.0,11
78,microsoft/WSL,12875,6.0,10
79,aio-libs/aiohttp,12393,8.0,127
80,pallets/click,12393,8.0,14
81,horovod/horovod,12361,4.0,18
82,saltstack/salt,12304,11.0,174
83,tensorflow/tensor2tensor,12252,4.0,75
84,gunthercox/ChatterBot,12213,7.0,86
85,apprenticeharper/DeDRM_tools,12173,7.0,81
86,kovidgoyal/calibre,12146,9.0,244
87,GoogleCloudPlatform/microservices-demo,12102,3.0,11
88,wagtail/wagtail,12022,8.0,177
89,lra/mackup,11985,9.0,14
90,sivel/speedtest-cli,11880,9.0,22
91,mlflow/mlflow,11766,3.0,52
92,Delgan/loguru,11646,4.0,18
93,pytorch/vision,11546,5.0,28
94,flairNLP/flair,11542,3.0,20
95,plotly/plotly.py,11438,8.0,64
96,microsoft/nni,11419,3.0,35
97,meolu/walle-web,11401,6.0,20
98,frappe/erpnext,11093,11.0,963
99,searx/searx,11094,8.0,14
100,equinusocio/material-theme,11049,7.0,88
101,mail-in-a-box/mailinabox,11047,8.0,18
102,allenai/allennlp,10967,5.0,57
103,ankitects/anki,10966,9.0,32
104,ansible/awx,10933,5.0,18
105,Chia-Network/chia-blockchain,10869,2.0,75
106,beetbox/beets,10868,11.0,33
107,networkx/networkx,10687,11.0,38
108,Textualize/textual,10483,1.0,10
109,scipy/scipy,9546,11.0,64
110,dmlc/dgl,9460,4.0,24
111,nbedos/termtosvg,9401,3.0,12
112,matrix-org/synapse,9400,7.0,411
113,mwaskom/seaborn,9379,10.0,24
114,cookiecutter/cookiecutter-django,9313,8.0,108
115,darknessomi/musicbox,9308,7.0,12
116,sympy/sympy,9151,12.0,40
117,ml-tooling/best-of-ml-python,9183,1.0,43
118,coleifer/peewee,9117,11.0,125
119,Ciphey/Ciphey,9776,2.0,29
120,lucidrains/vit-pytorch,9804,1.0,136
121,python-pillow/Pillow,9732,9.0,45
122,iterative/dvc,9662,5.0,360
123,frida/frida,9636,9.0,505
124,scipy/scipy,9546,11.0,64
125,dmlc/dgl,9460,4.0,24
126,nbedos/termtosvg,9401,3.0,12
127,matrix-org/synapse,9400,7.0,411
128,mwaskom/seaborn,9379,10.0,24
129,cookiecutter/cookiecutter-django,9313,8.0,108
130,darknessomi/musicbox,9308,7.0,12
131,Zulko/moviepy,9199,8.0,14
132,sympy/sympy,9151,12.0,40
133,ml-tooling/best-of-ml-python,9183,1.0,43
134,coleifer/peewee,9117,11.0,125
135,pyinstaller/pyinstaller,9113,10.0,37
136,harelba/q,9035,10.0,20
137,Gallopsled/pwntools,8974,9.0,61
138,thumbor/thumbor,8931,11.0,103
139,OWASP/owasp-mstg,8890,5.0,14
140,SecureAuthCorp/impacket,8816,7.0,12
141,facebookresearch/ParlAI,8796,5.0,20
142,PrefectHQ/prefect,8793,3.0,118
143,facebook/chisel,8782,8.0,11
144,falconry/falcon,8754,9.0,11
145,tweepy/tweepy,8745,13.0,23
146,pytest-dev/pytest,8699,6.0,46
147,encode/httpx,8689,3.0,36
148,seatgeek/fuzzywuzzy,8661,10.0,23
149,ultralytics/yolov3,8653,3.0,12
150,s0md3v/Photon,8623,4.0,18
151,EpistasisLab/tpot,8551,6.0,27
152,aws/serverless-application-model,8514,5.0,51
153,pallets/jinja,8486,11.0,17
154,keras-team/autokeras,8474,4.0,56
155,httpie/http-prompt,8476,6.0,17
156,microsoft/qlib,8456,1.0,14
157,wkentaro/labelme,8453,6.0,51
158,borgbackup/borg,8260,7.0,76
159,benoitc/gunicorn,8284,12.0,26
160,rq/rq,8279,10.0,19
161,ludwig-ai/ludwig,8219,3.0,14
162,spotDL/spotify-downloader,8360,5.0,51
163,jopohl/urh,8167,6.0,90
164,heartexlabs/label-studio,8164,2.0,48
165,pyodide/pyodide,8179,4.0,37
166,apache/tvm,8036,5.0,10
167,pre-commit/pre-commit,8030,8.0,83
168,KurtBestor/Hitomi-Downloader,7982,4.0,64
169,microsoft/pyright,7906,3.0,325
170,arrow-py/arrow,7862,9.0,43
171,maurosoria/dirsearch,7887,9.0,17
172,PaddlePaddle/PaddleHub,7873,3.0,27
173,qutebrowser/qutebrowser,7804,7.0,80
174,the-paperless-project/paperless,7706,6.0,27
175,edgedb/edgedb,7631,4.0,13
176,tiangolo/typer,7670,2.0,19
177,UKPLab/sentence-transformers,7607,2.0,30
178,pyro-ppl/pyro,7419,4.0,28
179,streamlink/streamlink,7429,5.0,47
180,mopidy/mopidy,7387,12.0,13
181,statsmodels/statsmodels,7337,11.0,20
182,secdev/scapy,7328,6.0,12
183,modin-project/modin,7296,3.0,50
184,lanpa/tensorboardX,7325,4.0,14
185,boto/boto3,7227,7.0,14
186,AlessandroZ/LaZagne,7198,7.0,19
187,evilsocket/opensnitch,7162,5.0,17
188,lbryio/lbry-sdk,7158,6.0,276
189,graphql-python/graphene,7173,6.0,53
190,kedro-org/kedro,7155,3.0,30
191,fail2ban/fail2ban,7104,10.0,26
192,mps-youtube/mps-youtube,7102,8.0,27
193,OlafenwaMoses/ImageAI,6996,4.0,10
194,tensorlayer/TensorLayer,6993,5.0,76
195,kivy/python-for-android,6965,10.0,12
196,spyder-ide/spyder,6945,7.0,82
197,encode/starlette,6913,3.0,16
198,robotframework/robotframework,6916,7.0,56
199,pytube/pytube,6902,10.0,31
200,google/trax,6898,2.0,18
201,laramies/theHarvester,6740,11.0,16
202,ajenti/ajenti,6726,12.0,20
203,microsoft/DeepSpeed,6684,2.0,29
204,tgalal/yowsup,6702,9.0,16
205,mindsdb/mindsdb,6618,3.0,108
206,hugapi/hug,6615,6.0,13
207,OctoPrint/OctoPrint,6588,9.0,121
208,pymc-devs/pymc,6548,13.0,35
209,ActivityWatch/activitywatch,6544,6.0,34
210,great-expectations/great_expectations,6506,4.0,145
211,QUANTAXIS/QUANTAXIS,6502,6.0,62
212,canonical/microk8s,6422,4.0,15
213,LonamiWebs/Telethon,6400,5.0,40
214,optuna/optuna,6320,4.0,45
215,kornia/kornia,6303,3.0,27
216,numenta/nupic,6298,9.0,47
217,dylanaraps/pywal,6253,4.0,78
218,Uberi/speech_recognition,6237,8.0,23
219,automl/auto-sklearn,6234,6.0,33
220,microsoft/playwright-python,6209,1.0,52
221,alteryx/featuretools,6116,4.0,106
222,AirtestProject/Airtest,6120,4.0,13
223,stanfordnlp/stanza,6104,4.0,13
224,deis/deis,6094,8.0,66
225,jiaaro/pydub,6097,11.0,31
226,arc298/instagram-scraper,6149,9.0,52
227,pallets/werkzeug,6064,11.0,25
228,doccano/doccano,6074,4.0,26
229,simonw/datasette,6045,4.0,111
230,xonsh/xonsh,5964,7.0,88
231,cupy/cupy,5977,5.0,113
232,aws/aws-sam-cli,5958,5.0,130
233,belluzj/fantasque-sans,5990,8.0,17
234,facebookresearch/pytorch3d,5928,2.0,10
235,shenweichen/DeepCTR,6013,4.0,35
236,burnash/gspread,5895,10.0,36
237,HypothesisWorks/hypothesis,5864,9.0,590
238,platformio/platformio-core,5836,8.0,111
239,conan-io/conan,5835,6.0,209
240,facebookresearch/hydra,5825,2.0,18
241,byt3bl33d3r/CrackMapExec,5849,6.0,27
