Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
activitywatch,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,700.0
AidLearning-FrameWork,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,27100.0,0.0
aiohttp,0.0,27.58,0.15,0.05,3.38,2.13,1.67,0.14,11.42
airflow,12.07,0.0,16.28,10.9,0.84,7.49,24.07,429.0,-6.09
Airtest,1.27,12.23,1.91,1.75,-6.55,2.48,0.29,4.62,0.52
ajenti,0.22,0.07,0.18,1.01,0.32,-0.43,1.22,-4.49,0.59
akshare,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.06,0.06
allennlp,58.35,0.58,23.85,3.67,47.14,8.49,-4.61,5.42,13.35
anki,-12.55,-33.05,73.01,0.0,0.53,0.04,0.04,-2.28,-0.13
apprise,0.43,-1.11,7.1,0.92,11.14,37.67,14.15,0.0,10.53
ArchiveBox,29.29,63.28,34.45,12.81,14.83,3.57,2.65,6.2,222.87
arrow,0.97,0.0,0.0,1.65,1.22,10.83,20.75,-0.1,6.5
asm-dude,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
ASRT_SpeechRecognition,-52.44,1.32,-19.22,2.57,48.28,0.85,14.68,30.71,-63.08
asyncpg,0.45,3.32,0.52,3.37,0.59,0.08,22.34,1.15,6.78
attrs,0.0,7.81,5.76,13.43,6.35,11.86,0.0,20.75,1.29
auto-sklearn,-0.38,-8.38,-1.79,-4.55,2.72,4.55,0.9,0.2,0.07
autogluon,11.75,-0.11,0.0,1.07,35.18,2.0,15.38,9.52,-0.25
autokeras,2800.0,727.59,217.08,7.23,3.8,-6.38,8.7,1.04,0.69
autopep8,0.6,0.3,0.82,2.25,0.22,0.67,1.11,0.59,0.78
autoscraper,23.81,0.0,0.0,7.69,25.0,4.76,1.82,11.61,2.4
aws-sam-cli,-20.0,25.0,2.0,-17.65,0.0,0.0,0.0,4.76,0.0
awx,0.19,0.05,-0.02,1.03,0.67,-0.51,0.49,0.5,-0.12
bandit,0.45,0.58,0.25,0.0,1.59,-0.06,-0.63,0.44,4.58
beets,0.14,-0.35,2.05,4.79,8.02,4.82,5.28,4.3,5.83
bert4keras,42.06,13.16,27.33,10.27,-3.31,14.35,41.01,13.01,-0.12
best-of-ml-python,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
bigchaindb,3.72,3.4,4.56,-0.52,5.79,25.54,30.78,26.26,2.0
boltons,9.55,-0.19,3.38,1.95,0.96,6.86,0.34,13.61,4.1
borg,3.15,11.37,0.11,-0.04,3.35,2.51,-15.83,18.84,-15.21
boto3,2.9,0.0,2.6,17.55,5.76,1.87,2.5,0.0,6.03
brython,0.0,0.19,0.0,2.11,0.07,1.13,0.42,0.15,0.01
buildbot,0.07,0.29,0.17,0.01,0.09,0.16,0.51,0.33,-0.06
buku,2.53,4.94,1.18,19.77,1.94,0.0,36.19,26.57,9.94
cascadia-code,-100.0,400.0,0.0,80.0,0.0,55.56,0.0,14.29,62.5
celery,209.25,0.2,0.66,0.01,0.81,0.67,0.22,0.15,0.67
certbot,-0.77,-0.15,0.24,4.72,1.69,0.3,0.94,0.62,0.16
chainer,13.92,64.71,7.42,11.07,16.04,55.29,2.35,3.45,10.18
changedetection.io,5.08,53.23,24.21,44.92,11.11,15.79,8.18,26.89,0.33
ChatterBot,0.0,7.14,104.76,1.4,3.67,-21.68,0.56,2.25,15.93
checkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
chia-blockchain,25.33,0.0,0.15,-20.33,0.57,0.0,0.25,0.0,-56.64
chisel,1.7,13.97,-5.39,4.15,0.0,0.0,0.0,0.0,484.08
Ciphey,19.78,-22.8,57.91,7.36,0.0,-16.6,14.8,5.16,7.63
click,0.0,0.0,4.27,2.94,-0.07,0.41,0.88,-0.07,0.1
cloud-custodian,3.15,7.37,1.73,0.73,3.62,1.75,6.35,6.83,8.46
clusterfuzz,0.06,-0.31,24.71,-0.09,-100.0,-100.0,-100.0,-100.0,-100.0
commonmark-spec,-48.34,0.0,0.0,0.0,2.56,6.25,-7.06,0.0,0.0
conan,3.67,0.37,1.74,4.87,0.02,3.79,0.53,0.07,2.57
conda,3.32,-3.22,3.79,0.85,0.81,0.08,-5.36,6.05,0.23
connexion,0.0,4.44,2.13,0.0,0.0,108.33,86.0,0.0,3.76
cookiecutter-django,44.44,76.92,63.04,2.67,0.0,96.1,5.3,14.47,-8.24
cookiecutter,162.1,2.77,4.79,0.0,8.57,-2.11,11.83,32.69,5.25
cowrie,102.56,5.72,20.41,4.0,0.03,0.93,-2.56,0.26,3.81
CrackMapExec,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
CTFd,13.81,17.73,9.38,13.89,13.57,30.25,0.43,0.0,0.64
cupy,4.89,34.34,13.46,-10.7,2.92,24.71,-18.84,49.44,4.63
d2l-en,-4.9,136.08,34.28,59.35,17.86,21.47,8.98,0.0,0.0
d2l-zh,5.36,0.0,-38.98,47.22,52.83,1.23,204.88,-23.6,0.0
dagster,15.93,5.67,10.54,2.45,0.22,4.38,10.85,2.48,0.0
DALLE-pytorch,13.04,0.0,42.31,2.7,2.63,0.0,12.82,0.0,6.82
DALLE2-pytorch,1.05,118.75,0.0,0.0,0.0,3.81,2.75,1.79,3.51
darts,10.75,0.13,0.13,26.39,23.92,6.1,9.26,0.0,0.0
dash,0.0,4.92,2.88,0.0,2.03,0.0,4.46,0.07,0.72
datasets,423100.0,6.21,2.45,21.15,21.11,0.0,1.11,1.02,0.01
datasette,70.95,19.17,25.04,3.98,2.42,3.24,7.24,7.2,10.18
dbt-core,54.64,16.4,22.42,12.64,6.19,18.83,0.11,0.46,18.48
DeDRM_tools,-32.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.32
deep-daze,1925.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,7.32
DeepCTR,1.13,68.52,-9.42,7.66,-11.19,-3.24,17.75,33.5,2.26
DeepFaceLive,-100.0,309700.0,41.7,0.0,18.0,0.0,0.0,0.0,0.0
DeepPavlov,9.83,50.04,38.6,23.11,0.27,3.04,6.77,0.0,0.68
DeepSpeed,88.7,67.39,6.42,5.88,22.4,2.22,13.87,3.19,11.53
deis,-3.33,5.17,4.45,48.65,8.9,5.26,15.39,3.76,10.0
detectron2,0.73,11.27,0.36,5.81,6.46,6.51,12.35,10.31,2.95
devicon,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
dgl,0.28,21.39,19.2,47.82,19.43,6.92,13.93,29.58,0.01
diagrams,1.13,0.0,0.0,18.18,8.91,9.79,0.0,0.0,0.11
