,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
airflow,11876,12074,12550,12692,12692,12965,13079,13284,7940,13400
apprise,2793,3845,4389,4389,4851,4862,4594,4770,4838,5456
ASRT_SpeechRecognition,153,153,158,212,214,214,227,227,235,264
buildbot,22339,48,22419,22452,22455,22476,22515,22637,0,18
ipython,12818,12927,13104,13110,19926,21610,8538,8520,8638,8736
jumpserver,6243,6362,6365,6365,6708,6708,6243,6362,6365,6365
neon,2590,2910,2986,2336,2689,2875,3054,3084,3158,3364
numpy,22391,21510,22446,22455,22455,22471,22471,22754,22772,22773
pandas,22920,24480,25929,49257,50606,50666,50818,50849,52584,52584
poetry,67665,67671,67645,68154,69867,71132,71133,67665,67671,67645
pytorch-lightning,4890,4899,4878,4898,4895,4882,4895,4890,4899,4878
sentry,9425,9435,9446,9447,9447,9447,9450,9565,9565,9568
transformers,352,349,353,374,1198,2328,10149,352,349,353
youtube-dl,13855,13933,13933,13935,13961,13996,13994,14031,14055,14052
