Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
activitywatch,-100.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
AidLearning-FrameWork,0.0,48.89,0.0,0.0,0.0,0.0,0.0,185.07,0.0
aiohttp,0.43,16.74,0.37,0.0,0.18,0.18,0.36,0.0,0.91
airflow,17.13,0.0,26.37,2.89,-0.2,7.85,41.98,3079.63,-9.06
Airtest,0.0,3.97,2.58,2.81,-2.05,2.79,0.39,3.19,1.5
ajenti,0.18,0.0,-0.72,0.0,0.18,0.0,0.0,-8.35,0.0
akshare,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.07,0.13
allennlp,84.33,0.97,28.91,1.9,51.59,8.19,-4.78,5.13,12.73
anki,-14.99,11.97,4.82,0.0,0.58,0.03,0.08,-7.72,0.24
apprise,0.84,-0.63,3.4,3.18,33.39,36.38,19.06,0.0,14.02
ArchiveBox,-7.5,291.89,36.55,4.55,-25.12,5.81,-0.61,10.43,111.67
arrow,1.0,0.0,0.0,0.0,0.0,2.96,28.71,-0.74,4.12
asm-dude,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
ASRT_SpeechRecognition,-50.41,-0.21,-15.45,0.85,55.8,0.0,14.81,51.05,-74.21
asyncpg,0.36,4.63,0.34,3.05,0.99,0.0,67.75,1.55,6.88
attrs,0.0,5.32,7.07,22.64,15.77,14.95,0.0,5.2,4.12
auto-sklearn,4.27,-3.95,1.3,-3.95,-1.07,4.97,2.37,1.36,-4.07
autogluon,14.28,-0.05,0.0,-0.05,33.46,7.8,8.66,9.34,5.75
autokeras,0.0,375.0,1521.05,8.12,-0.3,-83.43,16.36,0.0,-1.56
autopep8,0.11,0.06,0.39,0.33,0.22,0.27,0.33,0.0,0.0
autoscraper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aws-sam-cli,-33.33,50.0,83.33,-18.18,0.0,0.0,0.0,0.0,0.0
awx,0.01,0.17,0.0,1.58,0.29,-0.35,0.13,0.63,0.15
bandit,0.78,0.57,0.2,0.0,-39.82,0.08,0.68,-6.14,-11.12
beets,0.15,-0.38,3.24,3.58,4.85,-0.61,4.11,5.06,3.19
bert4keras,9.78,28.71,28.46,8.98,-3.85,22.86,51.63,-3.07,0.63
best-of-ml-python,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
bigchaindb,1.7,2.51,-3.05,0.0,5.46,43.43,32.92,25.91,1.24
boltons,8.8,-0.26,1.67,1.27,0.88,2.85,0.36,10.2,2.72
borg,4.99,13.22,0.23,-1.13,4.0,6.93,-31.79,47.21,-31.86
boto3,4.69,0.0,0.46,9.23,0.0,0.85,3.63,0.0,1.21
brython,0.0,0.08,0.0,1.47,-0.02,1.22,1.46,0.1,0.01
buildbot,0.07,0.26,0.02,0.0,0.04,0.3,0.39,0.07,0.01
buku,0.0,7.55,1.75,13.79,6.06,4.29,21.92,0.0,3.37
cascadia-code,-100.0,400.0,0.0,0.0,0.0,80.0,144.44,-72.73,333.33
celery,99.8,0.0,0.24,0.03,0.74,0.5,0.26,0.03,1.85
certbot,-10.17,0.49,0.03,-2.13,3.21,0.6,0.86,0.23,0.47
chainer,1.61,26.73,0.62,3.88,9.57,55.12,0.0,0.44,1.05
changedetection.io,3.17,38.46,62.22,27.4,8.6,13.86,14.78,6.82,0.35
ChatterBot,-68.88,0.0,20.0,-10.0,3.7,8.33,1.1,-6.52,-20.93
checkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chia-blockchain,135.92,0.0,0.13,-57.67,0.49,0.0,-0.13,0.0,-54.09
chisel,1.36,8.72,11.11,13.33,6.86,0.0,4.13,0.88,-2.62
Ciphey,13.84,-21.82,14.84,84.62,0.0,-37.5,-10.4,5.95,2.81
click,0.0,0.0,6.24,3.74,10.63,0.93,2.92,-1.64,0.15
cloud-custodian,1.01,-2.08,0.47,0.31,0.63,0.0,1.01,1.15,33.18
clusterfuzz,0.11,0.58,1.22,-0.03,-100.0,-100.0,-100.0,-100.0,-100.0
commonmark-spec,-79.8,0.0,0.0,0.0,0.0,15.0,-21.74,0.0,0.0
conan,2.99,0.32,4.5,5.44,0.0,3.02,0.85,0.0,7.21
conda,4.15,-3.98,4.15,-0.17,-0.43,0.17,-3.74,3.97,0.17
connexion,0.0,3.7,0.0,0.0,14.29,40.62,400.0,0.0,0.44
cookiecutter-django,16.15,1.48,72.01,0.34,0.0,2.53,-1.48,-14.88,-1.18
cookiecutter,28.57,0.95,0.63,-0.31,16.3,-9.7,12.54,1.59,1.83
cowrie,44.84,10.42,14.86,3.01,-0.32,0.79,-0.86,8.8,3.35
CrackMapExec,0.0,0.0,0.0,0.83,-2.46,8.4,0.0,0.0,0.0
CTFd,13.4,38.18,9.21,45.18,8.71,24.81,0.0,0.0,5.5
cupy,2.39,10.59,15.47,-8.45,3.08,13.31,-11.6,23.35,4.18
d2l-en,0.0,10.4,56.5,80.52,33.49,6.66,12.71,-39.07,0.16
d2l-zh,1.01,0.0,-4.98,0.52,7.81,0.48,4.33,-10.14,-0.51
dagster,5.61,1.66,8.82,1.5,0.0,0.59,5.0,0.56,0.0
DALLE-pytorch,0.0,0.0,0.0,0.0,12.5,11.11,0.0,0.0,0.0
DALLE2-pytorch,10.0,281.82,0.0,0.0,0.0,7.14,4.44,0.0,10.64
darts,3.82,0.0,0.0,29.18,20.18,3.28,8.66,0.0,0.0
dash,0.0,0.0,5.43,0.0,2.58,0.0,5.86,1.19,0.39
datasets,358300.0,3.26,1.13,14.21,10.2,0.0,1.36,0.9,0.17
datasette,27.5,7.84,16.36,1.56,3.08,4.48,5.24,2.26,4.42
dbt-core,80.0,77.78,0.0,193.75,5.32,1.01,0.0,-2.0,29.59
DeDRM_tools,-5.74,-0.03,-1.37,-3.3,-0.3,-0.43,-0.17,-0.2,1.72
deep-daze,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
DeepCTR,0.67,25.17,-9.52,10.53,2.12,2.07,14.72,152.21,0.7
DeepFaceLive,-100.0,96000.0,2.08,0.0,9.89,0.0,0.0,0.0,-0.37
DeepPavlov,6.86,31.19,27.27,16.76,-0.24,0.0,5.42,0.0,-0.22
DeepSpeed,132.18,43.65,4.62,3.15,31.32,6.64,3.13,2.67,4.22
deis,-2.7,2.38,3.1,7.52,6.06,2.64,5.25,2.44,3.57
detectron2,1.69,8.21,0.07,5.11,4.99,11.05,7.63,12.99,2.6
devicon,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
dgl,0.63,17.62,15.79,11.89,8.67,5.86,6.85,15.15,1.57
diagrams,0.0,1.41,0.69,18.62,10.47,13.68,0.0,0.46,0.0
dirsearch,4.81,0.0,-1.79,0.11,481.57,0.0,0.0,0.02,-0.04
DisableWinTracking,0.0,0.0,0.0,0.0,8.33,130.77,13.33,2.94,2.86
django-crispy-forms,-4.02,0.0,1.8,0.88,2.33,1.42,0.0,1.97,-19.56
django-rest-framework,0.51,0.59,0.25,2.1,0.0,0.49,0.08,0.08,4.18
doccano,1.28,-5.06,-8.0,0.0,5.8,24.66,0.0,1.1,0.0
docker-py,0.0,2.03,13.55,-1.05,6.74,0.0,0.0,-2.99,2.74
