Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
activitywatch,0,0,216,216,216,216,216,216,216,228
AidLearning-FrameWork,45,45,67,67,67,67,67,67,191,191
aiohttp,464,466,544,546,546,547,548,550,550,555
airflow,327,383,383,484,498,497,536,761,24197,22004
Airtest,933,933,970,995,1023,1002,1030,1034,1067,1083
ajenti,553,554,554,550,550,551,551,551,505,505
akshare,1491,1491,1491,1491,1502,1502,1502,1502,1503,1505
allennlp,1117,2059,2079,2680,2731,4140,4479,4265,4484,5055
anki,3970,3375,3779,3961,3961,3984,3985,3988,3680,3689
apprise,2849,2873,2855,2952,3046,4063,5541,6597,6597,7522
ArchiveBox,40,37,145,198,207,155,164,163,180,381
arrow,201,203,203,203,203,203,209,269,267,278
asm-dude,0,0,0,0,0,0,0,0,0,0
ASRT_SpeechRecognition,1962,973,971,821,828,1290,1290,1481,2237,577
asyncpg,280,281,294,295,304,307,307,515,523,559
attrs,188,188,198,212,260,301,346,346,364,379
auto-sklearn,1919,2001,1922,1947,1870,1850,1942,1988,2015,1933
autogluon,1835,2097,2096,2096,2095,2796,3014,3275,3581,3787
autokeras,4,4,19,308,333,332,55,64,64,63
autopep8,1810,1812,1813,1820,1826,1830,1835,1841,1841,1841
autoscraper,2,2,2,2,2,2,2,2,2,2
aws-sam-cli,6,4,6,11,9,9,9,9,9,9
awx,7061,7062,7074,7074,7186,7207,7182,7191,7236,7247
bandit,1929,1944,1955,1959,1959,1179,1180,1188,1115,991
beets,2627,2631,2621,2706,2803,2939,2921,3041,3195,3297
bert4keras,92,101,130,167,182,175,215,326,316,318
best-of-ml-python,0,0,0,0,0,0,0,0,0,0
bigchaindb,471,479,491,476,476,502,720,957,1205,1220
boltons,716,779,777,790,800,807,830,833,918,943
borg,742,779,882,884,874,909,972,663,976,665
boto3,618,647,647,650,710,710,716,742,742,751
brython,29612,29612,29637,29637,30073,30068,30434,30878,30909,30912
buildbot,18911,18925,18974,18978,18978,18986,19043,19118,19132,19133
buku,53,53,57,58,66,70,73,89,89,92
cascadia-code,0,0,5,5,5,5,9,22,6,26
celery,1490,2977,2977,2984,2985,3007,3022,3030,3031,3087
certbot,6595,5924,5953,5955,5828,6015,6051,6103,6117,6146
chainer,497,505,640,644,669,733,1137,1137,1142,1154
changedetection.io,63,65,90,146,186,202,230,264,282,283
ChatterBot,241,75,75,90,81,84,91,92,86,68
checkov,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233
chia-blockchain,2244,5294,5294,5301,2244,2255,2255,2252,2252,1034
chisel,147,149,162,180,204,218,218,227,229,223
Ciphey,318,362,283,325,600,600,375,336,356,366
click,529,529,529,562,583,645,651,670,659,660
cloud-custodian,1282,1295,1268,1274,1278,1286,1286,1299,1314,1750
clusterfuzz,12406,12420,12492,12644,12640,0,0,0,0,0
commonmark-spec,99,20,20,20,20,20,23,18,18,18
conan,903,930,933,975,1028,1028,1059,1068,1068,1145
conda,1109,1155,1109,1155,1153,1148,1150,1107,1151,1153
connexion,27,27,28,28,28,32,45,225,225,226
cookiecutter-django,291,338,343,590,592,592,607,598,509,503
cookiecutter,245,315,318,320,319,371,335,377,383,390
cowrie,669,969,1070,1229,1266,1262,1272,1261,1372,1418
CrackMapExec,121,121,121,121,122,119,129,129,129,129
CTFd,97,110,152,166,241,262,327,327,327,345
cupy,1005,1029,1138,1314,1203,1240,1405,1242,1532,1596
d2l-en,202,202,223,349,630,841,897,1011,616,617
d2l-zh,199,201,201,191,192,207,208,217,195,194
dagster,285,301,306,333,338,338,340,357,359,359
DALLE-pytorch,8,8,8,8,8,9,10,10,10,10
DALLE2-pytorch,10,11,42,42,42,42,45,47,47,52
darts,340,353,353,353,456,548,566,615,615,615
dash,442,442,442,466,466,478,478,506,512,514
datasets,0,3584,3701,3743,4275,4711,4711,4775,4818,4826
datasette,120,153,165,192,195,201,210,221,226,236
dbt-core,10,18,32,32,94,99,100,100,98,127
DeDRM_tools,7737,7293,7291,7191,6954,6933,6903,6891,6877,6995
deep-daze,0,5,5,5,5,5,5,5,5,7
DeepCTR,150,151,189,171,189,193,197,226,570,574
DeepFaceLive,0,0,961,981,981,1078,1078,1078,1078,1074
DeepPavlov,204,218,286,364,425,424,424,447,447,446
DeepSpeed,519,1205,1731,1811,1868,2453,2616,2698,2770,2887
deis,777,756,774,798,858,910,934,983,1007,1043
detectron2,2719,2765,2992,2994,3147,3304,3669,3949,4462,4578
devicon,0,0,0,0,0,0,0,0,0,0
dgl,4462,4490,5281,6115,6842,7435,7871,8410,9684,9836
diagrams,142,142,144,145,172,190,216,216,217,217
dirsearch,853,894,894,878,879,5112,5112,5112,5113,5111
DisableWinTracking,12,12,12,12,12,13,30,34,35,36
django-crispy-forms,348,334,334,340,343,351,356,356,363,292
django-rest-framework,1172,1178,1185,1188,1213,1213,1219,1220,1221,1272
doccano,78,79,75,69,69,73,91,91,92,92
docker-py,246,246,251,285,282,301,301,301,292,300
dumb-init,0,0,2,8,21,21,25,25,25,25
dvc,47,72,72,71,71,91,89,128,128,128
edgedb,9393,11772,11945,11963,12909,12437,12162,13851,16249,16255
Eel,38,38,38,38,38,95,96,97,99,99
