R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
6,0,0,1,1,2,1,0,0
22,31,14,27,31,44,46,409,83
29,0,84,12,5,7,0,48,38
0,4,13,58,1,5,0,66,81
0,3,0,2,380,48,0,3,269
47,90,25,45,3,68,11,1,16
222,45,344,338,58,131,156,72,69
14,5,26,7,4,0,1,1,2
17,46,163,70,294,396,168,4,9
8,53,68,835,10,33,19,32,35
77,164,79,59,46,4,12,49,5
13,7,27,1,62,4,7,50,50
17,46,163,70,294,396,168,4,9
8,53,68,835,10,33,19,32,35
9,26,10,2,2,9,2,0,2
320,44,24,35,37,12,14,27,20
34,102,13,41,58,29,11,20,13
6,15,22,31,93,0,147,184,406
4,7,2,4,0,11,1,15,2
164,4,6,3,0,5,4,0,0
27,42,21,27,63,27,35,28,34
32,325,4,484,807,19,27,141,15
228,302,0,242,1,1,6,5,20
447,43,0,204,107,27,72,55,12
51,4,2,12,13,4,4,0,3
16,0,48,20,2,50,83,1203,101
0,0,0,1,1,1,2,4,3
10,20,0,43,0,103,1,1,194
4,12,28,15,8,19,61,0,1
6,99,36,33,43,519,0,21,7
16,1,3,14,47,23,4,8,6
303,4,13,1,0,3,0,0,0
18,68,11,53,21,98,126,132,94
0,0,0,0,2,1,1,0,2
9,1,138,4,158,10,46,121,133
31,1,12,14,50,11,53,7,19
36,0,63,32,31,26,68,50,101
370,494,0,114,21,16,61,5,67
15,48,1,166,8,45,56,19,8
3,3,0,1,4,2,1,1,1
8,27,35,30,21,29,34,28,29
2353,8,77,14,76,1,5,16,37
5,20,0,13,13,19,8,13,26
4,347,394,197,5,1,541,758,8
0,1,0,2,0,1,2,16,0
0,14,4,34,9,9,31,76,44
22,0,72,87,31,104,30,34,23
3,1,1,2,2,4,0,0,2
5,6,14,8,36,0,42,47,61
55,20,1,49,329,26,2,20,19
11,14,16,0,6,4,51,1,118
22,102,136,34,96,0,29,25,111
89,167,101,85,73,8,54,194,22
1,20,20,1,19,8,12,0,5
1,35,25,20,13,11,16,2,42
39,31,35,112,3,16,23,11,0
54,147,57,204,202,144,293,184,206
5,189,92,5,1,0,19,21,0
0,2,1,0,4,5,6,6,0
0,117,223,193,20,26,12,7,516
15,21,48,6,43,31,80,0,0
76,241,172,33,112,74,200,136,106
1,3,3,1,2,3,9,5,11
80,67,59,28,9,41,24,0,2
39,35,21,28,43,2,0,0,0
39,31,35,112,3,16,23,11,0
54,147,57,204,202,144,293,184,206
323,377,0,6,1716,1,0,9,3
5,189,92,5,1,0,19,21,0
0,2,1,0,4,5,6,6,0
0,117,223,193,20,26,12,7,516
15,21,48,6,43,31,80,0,0
76,241,172,33,112,74,200,136,106
1,3,3,1,2,3,9,5,11
14,14,6,45,38,0,9,11,4
0,85,130,11,0,64,55,65,9
29,870,0,0,0,0,48,97,112
2,18,29,0,0,104,12,0,22
13,13,4,2,9,13,16,1,15
0,49,211,141,25,8,142,1,131
62,58,8,6,26,71,21,0,5
22,49,3,541,3,40,62,23,23
0,0,1,0,3,2,1,4,1
2,1,71,29,7,2,11,99,51
2,1,1,1,1,1,1,1,1
7,6,14,6,13,7,6,7,7
95,95,57,76,47,18,7,6,23
77,5,37,3,18,40,28,26,0
77,13,76,30,72,14,28,185,100
201,64,0,65,38,204,629,35,27
1,19,14,2,4,10,5,1,16
458,1,0,4,3,10,25,159,14
61,0,68,129,111,150,311,81,76
21,73,3,24,37,64,97,87,55
0,19,670,7,6,537,12,14,20
19,36,3,5,27,14,24,17,28
54,8,2,10,8,7,4,7,5
0,1,0,3,0,0,0,0,0
105,153,105,126,144,170,1,87,321
1,1,0,5,0,0,0,3,1
36,24,28,3,823,43,64,355,3
91,7,67,31,38,43,20,20,62
147,169,10,0,39,3,7,72,8
42,4,42,13,15,23,31,15,11
41,12,14,13,29,15,11,5,9
65,15,31,70,66,37,10,24,103
14,46,44,263,16,125,56,35,565
10,51,17,111,8,20,39,0,50
18,92,32,27,15,15,110,39,18
4,87,96,75,40,27,77,70,7
0,0,7,5,27,90,35,42,166
1,0,9,6,9,0,29,20,0
22,66,29,134,72,8,218,209,131
351,234,192,20,17,1160,261,230,90
3,21,16,98,14,77,178,174,190
6,141,6,6,63,5,257,7,6
2,1,0,0,8,0,4,6,4
37,74,30,35,35,8,73,23,54
30,8,51,24,0,2,24,6,13
0,0,2,0,0,2,3,0,2
94,88,91,94,4,44,47,0,12
321,0,13,0,15,27,49,0,0
11,6,3,0,0,1,16,5,0
18,92,32,27,15,15,110,39,18
4,87,96,75,40,27,77,70,7
0,0,7,5,27,90,35,42,166
1,0,9,6,9,0,29,20,0
22,66,29,134,72,8,218,209,131
351,234,192,20,17,1160,261,230,90
3,21,16,98,14,77,178,174,190
780,15,48,8,369,4,39,487,0
6,141,6,6,63,5,257,7,6
2,1,0,0,8,0,4,6,4
37,74,30,35,35,8,73,23,54
720,1136,374,4,85,410,1188,174,137
858,218,566,165,3,1,19,0,48
156,593,16,17,28,1,12,20,20
1,13,24,16,1,0,0,2,0
2,26,47,46,111,14,72,1,7
247,173,701,188,116,177,183,241,198
7,90,18,14,21,1,17,18,61
17,25,28,69,23,51,11,14,18
199,85,233,416,80,0,66,214,364
21,70,14,11,6,0,35,308,0
217,96,217,0,57,182,112,832,271
32,41,4,9,18,10,7,5,13
22,5,14,203,5,5,9,0,5
19,40,8,96,165,18,26,28,44
61,37,10,2,21,374,194,23,37
1,1,0,0,0,1,7,30,28
20,56,33,108,58,13,201,71,117
103,180,1,102,22,174,13,16,34
513,181,0,114,2,73,293,74,8
0,32,195,27,0,9,3,4,2
48,33,25,59,8,23,39,0,44
7,60,11,51,159,66,14,0,68
0,3,13,8,8,223,0,0,0
9,31,0,7,27,41,314,299,19
55,288,43,20,167,4,29,264,0
300,0,37,64,3,10,33,27,25
56,21,85,80,145,213,41,42,33
65,50,38,18,58,38,197,21,52
2,13,14,0,0,1,1,0,0
2,0,4,0,6,6,1,1,7
4,2,0,25,35,2,6,21,5
167,214,0,168,277,3,215,94,406
0,3,6,2,13,4,30,0,54
0,0,0,0,0,0,0,0,86
2,3,1,1,1,1,4,3,1
162,0,0,18,15,133,508,3,745
46,9,70,76,357,16,25,164,336
10,18,67,10,22,13,33,9,40
14,11,33,35,31,0,69,75,18
0,1,5,1,33,40,0,3,59
293,133,34,149,65,43,178,344,9
