Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
activitywatch,-100.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,113.89
AidLearning-FrameWork,0.0,101.05,-0.52,-0.53,0.0,0.0,0.0,678.31,0.0
aiohttp,0.03,20.98,0.07,0.06,1.94,-1.03,2.42,0.15,14.77
airflow,8.76,0.04,15.65,9.76,0.57,6.5,22.98,577.93,-7.4
Airtest,1.24,8.95,1.27,2.03,-3.54,2.91,0.21,5.05,0.71
ajenti,0.34,0.2,0.73,1.1,0.5,-0.39,1.04,1.34,1.02
akshare,0.0,0.0,0.0,0.56,0.01,0.0,0.02,0.09,0.14
allennlp,57.5,0.87,24.16,2.83,42.79,8.22,-4.75,5.28,9.11
anki,-11.81,6.96,7.73,0.0,0.84,0.02,0.14,-1.97,-0.15
apprise,0.58,-0.75,2.89,1.61,12.26,29.33,12.4,0.02,10.91
ArchiveBox,30.93,91.06,24.97,12.1,11.31,6.62,2.45,4.79,191.93
arrow,2.32,0.0,0.0,1.69,0.7,11.5,23.16,-0.35,9.51
asm-dude,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
ASRT_SpeechRecognition,-50.55,0.93,-15.95,3.46,46.24,0.29,13.96,23.16,-68.5
asyncpg,0.72,3.21,1.36,3.78,0.51,0.15,27.33,1.03,9.16
attrs,0.0,8.28,7.16,15.16,7.62,8.73,0.2,23.12,2.76
auto-sklearn,-0.31,-7.0,-1.14,-0.34,2.48,6.66,1.31,0.55,-1.45
autogluon,8.89,-0.03,0.0,0.93,32.15,2.53,16.05,7.89,-0.43
autokeras,4950.0,893.07,191.33,11.98,4.19,-25.73,7.03,1.22,0.62
autopep8,0.48,0.27,0.87,1.88,0.31,0.68,1.3,0.52,0.79
autoscraper,8.29,0.0,1.91,7.51,14.41,3.05,1.85,10.18,3.3
aws-sam-cli,-22.73,29.41,5.79,-19.14,0.0,0.0,0.0,2.9,0.0
awx,0.18,0.04,-0.0,1.08,0.5,-0.83,0.43,0.39,0.04
bandit,0.32,1.05,0.3,-0.03,1.55,-0.09,0.03,-1.93,3.12
beets,0.15,-0.52,2.07,4.16,6.42,5.41,6.32,4.02,4.78
bert4keras,25.06,26.39,26.68,10.13,14.8,10.91,35.22,6.79,-0.12
best-of-ml-python,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
bigchaindb,3.75,5.42,4.06,-1.26,5.12,41.22,36.64,26.19,1.93
boltons,11.16,-0.26,4.87,1.73,0.66,8.74,0.32,11.39,3.98
borg,3.52,11.54,-0.01,0.13,4.7,3.7,-13.81,16.11,-13.22
boto3,3.22,0.0,1.91,14.8,6.06,0.28,2.51,0.0,4.77
brython,0.0,0.1,0.0,1.51,0.08,0.86,0.49,0.15,0.01
