,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
activitywatch,0,0,36,36,36,36,36,36,36,77
AidLearning-FrameWork,95,95,191,190,189,189,189,189,1471,1471
aiohttp,8718,8721,10551,10558,10564,10769,10658,10916,10932,12547
airflow,6277,6827,6830,7899,8670,8719,9286,11420,77420,71691
Airtest,7437,7529,8203,8307,8476,8176,8414,8432,8858,8921
ajenti,10301,10336,10357,10433,10548,10601,10560,10670,10813,10923
akshare,10468,10468,10468,10468,10527,10528,10528,10530,10539,10554
allennlp,8557,13477,13594,16878,17355,24782,26818,25543,26892,29341
anki,24936,21991,23521,25339,25339,25551,25555,25591,25088,25051
apprise,7066,7107,7054,7258,7375,8279,10707,12035,12037,13350
ArchiveBox,333,436,833,1041,1167,1299,1385,1419,1487,4341
arrow,2199,2250,2250,2250,2288,2304,2569,3164,3153,3453
asm-dude,0,0,0,0,0,0,0,0,0,0
ASRT_SpeechRecognition,4346,2149,2169,1823,1886,2758,2766,3152,3882,1223
asyncpg,3617,3643,3760,3811,3955,3975,3981,5069,5121,5590
attrs,2876,2876,3114,3337,3843,4136,4497,4506,5548,5701
auto-sklearn,18146,18090,16824,16632,16575,16986,18118,18355,18456,18189
autogluon,16693,18177,18171,18171,18340,24237,24849,28837,31111,30977
autokeras,2,101,1003,2922,3272,3409,2532,2710,2743,2760
autopep8,11233,11287,11318,11416,11631,11667,11746,11899,11961,12055
autoscraper,193,209,209,213,229,262,270,275,303,313
aws-sam-cli,242,187,242,256,207,207,207,207,213,213
awx,66622,66740,66764,66763,67484,67821,67255,67542,67806,67833
bandit,6664,6685,6755,6775,6773,6878,6872,6874,6741,6951
beets,15018,15041,14963,15272,15907,16928,17844,18972,19734,20678
bert4keras,818,1023,1293,1638,1804,2071,2297,3106,3317,3313
best-of-ml-python,0,0,0,0,0,0,0,0,0,0
bigchaindb,1600,1660,1750,1821,1798,1890,2669,3647,4602,4691
