,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
activitywatch,-100.0,33400.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79
AidLearning-FrameWork,0.0,84.21,0.0,0.0,0.0,0.0,0.0,702.22,0.0
aiohttp,0.05,20.78,0.11,0.05,1.67,-1.05,2.09,0.13,14.1
airflow,11.22,0.02,14.92,9.18,0.58,6.05,26.91,690.96,-7.66
Airtest,1.57,9.83,1.25,3.44,-3.16,2.33,0.23,5.3,0.67
ajenti,0.34,0.18,1.94,0.95,0.37,-0.38,0.95,0.7,0.78
akshare,0.0,0.0,0.0,0.67,-0.02,-0.03,0.01,0.21,0.03
allennlp,62.52,0.86,28.05,2.82,43.14,9.32,-5.54,6.16,11.42
anki,-20.62,12.98,14.9,0.0,0.97,0.01,0.15,-2.22,-0.1
apprise,0.56,-1.29,2.87,1.88,17.17,30.76,14.91,0.01,15.47
ArchiveBox,28.49,123.07,26.02,10.53,7.57,8.46,1.31,6.81,215.02
arrow,2.23,0.0,0.02,1.46,0.96,9.54,21.33,-0.2,7.69
asm-dude,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
ASRT_SpeechRecognition,-52.82,0.53,-16.42,2.58,48.37,0.24,14.33,32.6,-69.26
asyncpg,0.77,3.86,1.73,4.96,1.54,0.16,25.5,0.94,12.09
attrs,0.0,7.84,6.88,22.8,7.94,9.34,0.16,22.35,2.33
auto-sklearn,-0.23,-6.91,0.32,-0.78,3.62,8.99,1.72,0.69,-0.45
autogluon,11.02,-0.03,0.0,1.02,38.84,2.74,15.18,8.85,0.0
autokeras,1015.38,861.38,224.46,11.76,3.2,-30.73,6.59,0.93,0.82
autopep8,0.54,0.2,0.83,1.41,0.33,0.54,1.21,0.58,0.75
autoscraper,67.83,0.0,1.88,4.5,14.68,4.44,1.14,8.4,2.38
aws-sam-cli,-17.56,21.29,9.12,-14.83,0.0,0.0,0.0,1.11,0.0
awx,0.17,0.03,0.0,1.69,-0.67,-0.39,0.45,0.49,0.12
bandit,0.54,0.71,0.25,-0.01,-3.37,-0.09,0.83,4.54,50.51
beets,0.12,-0.04,2.9,4.52,6.57,4.8,8.01,4.78,5.02
bert4keras,23.7,27.21,28.01,9.55,14.33,9.15,35.79,5.77,-0.08
best-of-ml-python,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
bigchaindb,3.48,3.76,3.21,-1.18,4.45,46.65,31.23,27.76,1.63
boltons,11.76,-0.92,6.14,2.22,0.87,6.96,0.49,10.53,4.93
borg,5.19,12.27,-0.01,-0.1,4.52,6.73,-17.11,20.74,-16.3
boto3,2.79,0.02,1.86,14.77,4.54,0.81,2.69,0.0,5.43
brython,0.0,0.09,0.0,1.7,0.02,1.39,0.51,0.15,0.01
buildbot,0.06,0.79,0.09,0.01,0.07,0.52,0.79,0.18,-0.02
buku,1.15,8.51,4.36,24.37,3.89,1.42,25.48,24.77,3.01
cascadia-code,-100.0,15500.0,9.62,25.15,0.0,42.99,11.44,-18.18,59.5
celery,55.77,0.26,0.58,0.04,0.71,1.04,0.46,0.26,0.9
certbot,-2.28,-0.11,0.17,3.67,1.79,0.19,1.06,0.57,0.24
chainer,8.04,97.9,5.52,5.88,11.51,38.28,1.35,1.98,7.54
changedetection.io,15.29,36.53,56.35,40.92,15.88,13.93,11.05,5.78,0.48
ChatterBot,-28.03,8.36,78.43,1.68,4.18,-13.83,0.24,13.21,6.15
checkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
chia-blockchain,88.97,0.0,0.08,-47.12,0.92,0.0,0.35,0.0,-34.1
chisel,8.2,19.65,12.77,45.3,2.62,0.0,3.91,0.8,0.95
Ciphey,38.58,-31.91,23.26,26.05,0.0,-20.62,1.99,4.83,6.73
click,0.0,-0.07,10.83,4.14,3.98,0.5,0.98,-0.1,0.17
cloud-custodian,2.42,5.86,2.18,2.51,1.84,3.61,6.05,4.66,13.66
clusterfuzz,-0.03,0.1,1.74,0.15,-100.0,-100.0,-100.0,-100.0,-100.0
commonmark-spec,-56.92,0.0,0.0,0.0,0.76,3.98,-30.66,0.0,-0.79
conan,2.89,0.45,3.25,4.38,0.08,3.1,0.48,0.29,3.59
conda,4.1,-3.93,4.34,0.29,0.48,-0.06,-5.0,5.38,0.1
connexion,0.0,3.85,0.21,0.0,0.0,38.27,87.05,0.0,4.14
cookiecutter-django,18.75,1.2,86.5,1.42,0.82,25.41,4.39,8.44,-6.2
cookiecutter,93.52,1.71,6.73,4.48,16.5,-10.92,18.71,30.13,3.89
cowrie,84.28,7.12,19.66,6.53,0.15,-5.42,-1.61,1.33,3.96
CrackMapExec,0.04,0.04,0.4,1.79,1.51,8.08,0.26,1.25,1.04
CTFd,12.5,19.35,7.59,18.7,16.88,26.24,0.49,0.0,1.82
cupy,4.22,25.37,11.74,-9.53,2.24,23.64,-18.39,47.24,5.03
d2l-en,-1.14,46.36,40.58,56.46,24.49,26.79,12.53,-2.04,-0.74
d2l-zh,4.93,0.0,-13.78,8.27,24.13,0.98,111.91,-15.1,0.0
dagster,21.78,6.48,10.88,2.52,0.22,3.8,10.02,4.37,0.0
DALLE-pytorch,4.91,0.85,27.0,1.0,2.63,3.53,1.24,0.61,3.95
DALLE2-pytorch,4.69,235.22,0.09,-0.09,0.27,3.55,1.63,0.76,6.7
darts,12.96,0.14,0.15,35.55,20.1,5.93,6.91,0.0,0.0
dash,0.0,2.64,4.15,0.03,2.15,-0.01,3.57,0.51,0.31
datasets,3504000.0,4.48,1.94,21.54,18.47,0.03,1.27,1.38,0.02
datasette,52.97,22.17,21.52,3.38,4.53,4.08,9.71,8.43,16.49
dbt-core,43.23,16.86,18.83,16.62,5.24,23.56,0.0,0.17,23.18
DeDRM_tools,-8.52,-0.03,-0.43,-3.76,-0.03,-0.5,-0.02,-0.1,0.5
deep-daze,985.37,0.0,0.67,0.0,0.0,-0.22,0.0,0.0,7.38
DeepCTR,1.41,96.24,-17.41,7.98,-3.07,1.18,16.02,63.33,2.62
