,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
activitywatch,0,0,335,335,335,335,335,335,335,408
AidLearning-FrameWork,171,171,315,315,315,315,315,315,2527,2527
aiohttp,13191,13198,15941,15958,15966,16232,16062,16398,16420,18736
airflow,12082,13438,13441,15446,16864,16961,17987,22828,180561,166735
Airtest,12916,13119,14409,14589,15091,14614,14954,14988,15783,15889
ajenti,16424,16480,16510,16830,16990,17053,16988,17149,17269,17403
akshare,27350,27351,27352,27353,27536,27531,27523,27526,27584,27593
allennlp,15717,25543,25762,32987,33917,48548,53074,50134,53223,59303
anki,39407,31281,35341,40606,40606,40998,41002,41063,40151,40110
apprise,17284,17380,17155,17648,17980,21067,27547,31655,31658,36557
ArchiveBox,523,672,1499,1889,2088,2246,2436,2468,2636,8304
arrow,5103,5217,5217,5218,5294,5345,5855,7104,7090,7635
asm-dude,0,0,0,0,0,0,0,0,0,0
ASRT_SpeechRecognition,8398,3962,3983,3329,3415,5067,5079,5807,7700,2367
asyncpg,7226,7282,7563,7694,8076,8200,8213,10307,10404,11662
attrs,5840,5840,6298,6731,8266,8922,9755,9771,11955,12233
auto-sklearn,31674,31601,29416,29509,29278,30339,33067,33636,33867,33715
autogluon,27156,30149,30140,30140,30447,42273,43432,50023,54452,54452
autokeras,13,145,1394,4523,5055,5217,3614,3852,3888,3920
autopep8,21458,21574,21617,21797,22105,22178,22298,22567,22697,22867
autoscraper,286,480,480,489,511,586,612,619,671,687
aws-sam-cli,581,479,581,634,540,540,540,540,546,546
awx,127686,127906,127941,127947,130106,129240,128730,129315,129952,130105
bandit,15329,15412,15521,15560,15558,15034,15021,15146,15834,23831
beets,25039,25069,25058,25785,26951,28721,30099,32510,34065,35775
bert4keras,1325,1639,2085,2669,2924,3343,3649,4955,5241,5237
best-of-ml-python,0,0,0,0,0,0,0,0,0,0
bigchaindb,3366,3483,3614,3730,3686,3850,5646,7409,9466,9620
boltons,12249,13689,13563,14396,14716,14844,15877,15955,17635,18504
borg,10306,10841,12171,12170,12158,12707,13562,11242,13574,11361
boto3,5023,5163,5164,5260,6037,6311,6362,6533,6533,6888
brython,343926,343926,344222,344222,350082,350161,355023,356844,357390,357411
buildbot,174349,174453,175828,175994,176016,176136,177045,178440,178765,178726
buku,523,529,574,599,745,774,785,985,1229,1266
cascadia-code,0,0,156,171,214,214,306,341,279,445
celery,46705,72754,72942,73366,73395,73914,74684,75031,75223,75900
certbot,70082,68483,68406,68525,71043,72315,72449,73216,73632,73812
chainer,9806,10594,20966,22123,23424,26121,36120,36606,37332,40145
changedetection.io,425,490,669,1046,1474,1708,1946,2161,2286,2297
ChatterBot,981,706,765,1365,1388,1446,1246,1249,1414,1501
checkov,40601,40601,40601,40601,40601,40601,40601,40601,40609,40609
chia-blockchain,36818,69574,69574,69631,36818,37157,37157,37288,37288,24571
chisel,2159,2336,2795,3152,4580,4700,4700,4884,4923,4970
Ciphey,3331,4616,3143,3874,4883,4883,3876,3953,4144,4423
click,13734,13734,13725,15212,15842,16473,16555,16718,16701,16730
cloud-custodian,10985,11251,11910,12170,12475,12705,13164,13960,14611,16607
clusterfuzz,111809,111779,111892,113837,114005,0,0,0,0,0
commonmark-spec,1214,523,523,523,523,527,548,380,380,377
conan,30023,30890,31029,32038,33441,33469,34507,34671,34773,36023
conda,17814,18544,17815,18589,18643,18732,18721,17785,18742,18760
connexion,467,467,485,486,486,486,672,1257,1257,1309
cookiecutter-django,912,1083,1096,2044,2073,2090,2621,2736,2967,2783
cookiecutter,1328,2570,2614,2790,2915,3396,3025,3591,4673,4855
cowrie,7927,14608,15648,18724,19947,19976,18894,18590,18838,19584
CrackMapExec,2779,2780,2781,2792,2842,2885,3118,3126,3165,3198
CTFd,3472,3906,4662,5016,5954,6959,8785,8828,8828,8989
cupy,15274,15918,19956,22299,20174,20626,25501,20811,30642,32184
d2l-en,1320,1305,1910,2685,4201,5230,6631,7462,7310,7256
d2l-zh,588,617,617,532,576,715,722,1530,1299,1299
dagster,10905,13280,14141,15679,16074,16109,16721,18396,19199,19199
DALLE-pytorch,224,235,237,301,304,312,323,327,329,342
DALLE2-pytorch,320,335,1123,1124,1123,1126,1166,1185,1194,1274
darts,6359,7183,7193,7204,9765,11728,12423,13282,13282,13282
dash,11564,11564,11869,12361,12365,12631,12630,13081,13148,13189
datasets,0,35041,36611,37322,45360,53740,53758,54442,55192,55202
datasette,1616,2472,3020,3670,3794,3966,4128,4529,4911,5721
dbt-core,1358,1945,2273,2701,3150,3315,4096,4096,4103,5054
DeDRM_tools,64124,58660,58640,58388,56194,56178,55899,55888,55834,56114
deep-daze,41,445,445,448,448,448,447,447,447,480
DeepCTR,2127,2157,4233,3496,3775,3659,3702,4295,7015,7199
DeepFaceLive,0,0,18027,23605,23605,27524,27524,27524,27524,27521
DeepPavlov,6738,7031,10433,14379,16737,16763,16925,18226,18226,18351
