,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
activitywatch,-100.0,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.88
AidLearning-FrameWork,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7410.97,0.0
aiohttp,0.0,-0.75,0.0,0.0,0.0,-0.68,0.8,0.0,2.57
airflow,1.95,0.0,0.0,2.08,-1.12,2.0,0.78,-0.92,0.16
Airtest,0.0,-0.14,0.0,0.0,0.0,-0.58,0.0,0.72,-0.15
ajenti,-1.2,0.0,0.59,0.0,0.0,0.0,5.48,-5.2,0.0
akshare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allennlp,-3.87,-0.27,-2.22,-0.13,-0.42,0.72,-0.12,0.12,-1.31
anki,-1.11,15.17,-9.82,0.0,1.61,0.0,0.0,-1.64,0.0
apprise,0.97,-0.98,1.04,-0.33,-2.34,-2.82,-2.73,0.0,-1.94
ArchiveBox,108.13,7.91,-8.63,0.05,-0.64,-8.1,-4.31,-0.63,32.36
arrow,-1.03,0.0,0.0,0.0,0.0,2.57,-0.64,0.0,-1.06
asm-dude,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
ASRT_SpeechRecognition,1.42,-0.07,9.93,0.11,-8.18,0.0,-1.69,15.04,14.12
asyncpg,0.0,-0.79,0.0,0.15,0.0,0.0,-0.53,0.0,0.0
attrs,0.0,-4.46,3.5,-1.32,-2.72,2.79,0.0,-5.87,-0.56
auto-sklearn,0.76,2.25,-0.09,-1.83,0.0,0.06,0.22,0.0,-0.01
autogluon,-1.24,0.0,0.0,1.1,0.16,0.0,-0.08,1.37,0.09
autokeras,-22.35,-17.13,7.23,-7.06,0.1,-18.25,0.93,-0.24,1.56
autopep8,-0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autoscraper,-3.07,0.0,0.0,0.0,-1.76,0.0,0.0,-4.26,-0.33
aws-sam-cli,0.0,0.0,11.51,-5.03,0.0,0.0,0.0,5.29,-0.0
awx,-0.34,0.0,0.0,0.85,0.69,0.59,0.78,0.24,4.11
bandit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beets,0.0,0.27,-0.25,-2.05,0.18,0.0,5.46,0.52,0.25
bert4keras,-9.6,3.64,-10.8,2.68,0.93,-1.82,0.02,-5.04,0.0
best-of-ml-python,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
bigchaindb,-3.04,-2.83,-1.78,0.0,0.0,1.42,1.68,-0.19,0.0
boltons,-1.42,-1.18,-0.24,0.03,0.0,-0.06,-0.98,-0.34,0.01
borg,1.92,3.19,1.56,-3.98,11.96,12.34,-1.34,1.36,-1.34
boto3,6.76,0.0,0.0,0.0,-10.61,-0.0,-0.0,-0.0,-0.0
brython,0.0,-0.15,0.0,-0.07,0.06,0.0,1.52,0.0,0.0
buildbot,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.17,0.0
buku,-2.42,-10.3,-8.89,-29.2,-8.77,-2.9,-72.45,-8.59,171.0
cascadia-code,-100.0,5162.75,-1.71,13.29,0.0,-5.72,3.08,-4.82,1.8
celery,-15.73,-0.0,-0.14,0.0,-0.14,-0.38,-0.0,0.19,-0.19
certbot,2.7,0.21,0.0,0.05,-2.92,0.0,-1.67,0.1,0.17
chainer,3.33,-11.6,-0.45,-0.85,-1.92,21.52,0.2,0.0,-1.92
changedetection.io,12.23,-5.56,1.45,-11.32,0.0,4.12,1.49,1.88,0.0
ChatterBot,-0.86,-2.7,21.37,-1.01,-5.84,19.77,0.0,0.0,0.0
checkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chia-blockchain,40.38,0.0,0.0,-28.76,0.49,0.0,-1.29,0.0,44.09
chisel,-0.45,-1.49,2.74,1.15,0.0,0.0,0.0,0.0,-16.84
Ciphey,-5.5,26.55,-23.45,30.63,0.0,-13.88,-11.11,-0.9,0.9
click,0.0,0.0,2.85,-2.71,-0.06,0.0,3.3,-3.03,0.0
cloud-custodian,-0.17,0.54,0.0,-0.02,0.0,-1.58,2.67,-0.35,0.63
clusterfuzz,-0.01,0.08,-3.53,-0.02,-100.0,-100.0,-100.0,-100.0,-100.0
commonmark-spec,-22.4,0.0,0.0,0.0,-0.98,-1.52,14.02,0.0,0.0
conan,0.17,-0.17,-0.76,-3.53,0.0,-0.09,-0.09,0.0,0.6
conda,-2.26,2.31,-2.48,0.0,0.51,0.0,2.03,-2.41,0.0
connexion,0.0,0.0,0.0,0.0,0.0,-2.04,-14.83,0.0,0.0
cookiecutter-django,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookiecutter,-8.16,-2.61,-1.03,1.42,1.37,-3.15,7.13,-2.41,-1.25
cowrie,5.49,0.66,-0.23,-4.94,0.0,-1.8,0.26,-0.0,2.45
CrackMapExec,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
CTFd,-19.66,11.74,-6.29,13.27,6.39,0.95,0.0,0.0,-6.21
cupy,0.0,-14.63,-7.9,8.58,-4.12,-9.69,10.73,-12.71,-0.13
d2l-en,30.14,-2.22,0.56,-39.91,-18.2,-4.25,-15.98,2.42,0.45
d2l-zh,7.42,0.0,27.08,0.0,0.0,0.0,-25.75,37.98,0.12
dagster,-0.11,-0.53,-2.65,0.0,0.0,0.19,-3.97,2.12,0.0
DALLE-pytorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALLE2-pytorch,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darts,-4.38,0.0,0.0,-10.58,5.86,0.0,3.51,0.0,0.0
dash,0.0,-1.77,0.44,0.0,-0.42,-0.24,0.0,0.0,0.0
datasets,7750.3,-0.27,-1.0,-0.69,-3.7,0.0,0.0,0.07,-0.07
datasette,-10.76,-9.85,-1.63,-0.0,-0.0,-0.38,-0.05,0.0,-0.23
dbt-core,-22.48,-2.16,-4.17,5.35,0.0,-3.91,0.0,0.0,14.18
DeDRM_tools,7.28,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0
deep-daze,-14.34,0.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0
DeepCTR,-0.17,-8.36,5.18,0.83,6.03,1.53,0.63,-0.94,0.0
