Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
activitywatch,0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.12062523001995
AidLearning-FrameWork,0,0,0,0,0,0,0,0,75.1096523470051,75.1096523470051
aiohttp,44.39504217601758,44.39504217601758,44.061936585472345,44.061936585472345,44.061936585472345,44.061936585472345,43.762365190512,44.11308358748599,44.11308358748599,45.24663696292118
airflow,82.12088236409107,83.72450107254011,83.72450107254011,83.72450107254011,85.46605170453638,84.51049072310425,86.19660039187212,86.86909448915449,86.0657768274837,86.20593067091716
Airtest,71.3814243198408,71.3814243198408,71.28042341188787,71.28042341188787,71.28042341188787,71.28042341188787,70.86912938678643,70.86912938678643,71.3814243198408,71.27461932670134
ajenti,79.84091414249232,78.88104588015428,78.88104588015428,79.3435055125973,79.3435055125973,79.3435055125973,79.3435055125973,83.69338283831358,79.3435055125973,79.3435055125973
akshare,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016,84.19475426047016
allennlp,79.49507035844934,76.4210978728079,76.21816303769253,74.52408264944621,74.42582033700891,74.11494439979751,74.64670273369654,74.55595322468884,74.64670273369654,73.66776770338504
anki,52.551087332415136,51.96829975847069,59.85413006825493,53.9740738234729,53.9740738234729,54.84568536823805,54.84568536823805,54.84568536823805,53.94709346951456,53.94709346951456
apprise,67.75938422698029,68.41818870284229,67.74809304177722,68.45492546825632,68.2280304780796,66.63082661731167,64.74870331296412,62.98195963918312,62.98195963918312,61.759057200810865
ArchiveBox,31.382260127623052,65.31727209875285,70.48191047934037,64.39993769731599,64.43495843263362,64.02454082384868,58.841298391865855,56.305980850299306,55.95294222724372,74.05892087424881
arrow,54.23694171343048,53.67849646750071,53.67849646750071,53.67849646750071,53.67849646750071,53.67849646750071,55.05985329360088,54.70871308472824,54.70871308472824,54.12705355655157
asm-dude,0,0,0,0,0,0,0,0,0,0
ASRT_SpeechRecognition,56.01490702725563,56.80847045099236,56.76888001603436,62.40477137285937,62.474259526615754,57.3655845041915,57.3655845041915,56.3956240250304,64.87995200520791,74.03918592463214
asyncpg,66.66079801494078,66.66079801494078,66.13376406303634,66.13376406303634,66.2319148594454,66.2319148594454,66.2319148594454,65.88032962168911,65.88032962168911,65.88032962168911
attrs,76.52910934772397,76.52910934772397,73.11270764638934,75.67024619989805,74.67440877739902,72.6469694348137,74.67440877739902,74.67440877739902,70.29078506700452,69.894950668811
auto-sklearn,68.09625161173841,68.6151202495767,70.15913787314733,70.09285597498928,68.80889657805022,68.80889657805022,68.8531781550329,69.00403266096353,69.00403266096353,68.99421169474056
autogluon,66.60902770568403,65.78142058384161,65.78142058384161,65.78142058384161,66.50367384166923,66.60902770568403,66.60902770568403,66.55635077367663,67.468104298895,67.53187225666059
autokeras,100.0,77.6474510427496,64.34375915594012,68.99496964845925,64.123471515992,64.18460559188239,52.473995117730134,52.96063530776259,52.83349643170496,53.65951314238102
autopep8,90.04845224496918,90.04845224496918,93.00638199098168,93.00638199098168,93.00638199098168,93.00638199098168,93.00638199098168,93.00638199098168,93.00638199098168,93.00638199098168
autoscraper,84.20422518525908,81.61533394456822,81.61533394456822,81.61533394456822,81.61533394456822,80.18086701463591,80.18086701463591,80.18086701463591,76.76794998409038,76.51184209386275
aws-sam-cli,82.57620611132008,82.57620611132008,82.57620611132008,92.0836062211917,87.45305803309903,87.45305803309903,87.45305803309903,87.45305803309903,92.0836062211917,92.0836062211917
awx,73.60726621746667,73.35522732623826,73.35522732623826,73.35522732623826,73.97559595226423,74.48916959662606,74.93205895173574,75.51643690032004,75.69918386916648,78.81162716057604
bandit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
beets,60.38477694133205,60.38477694133205,60.5455626805278,60.39380375481104,59.1533072719901,59.26158142887475,59.26158142887475,62.49471612046302,62.818494221688674,62.977885052553546
bert4keras,66.76622055676538,60.35368834198533,62.55202197525182,55.797238647835734,57.294184786552755,57.82784440189711,56.77717402809532,56.78914376553395,53.9270123254876,53.9270123254876
best-of-ml-python,0,0,0,0,0,0,0,0,0,0
bigchaindb,84.65430237780639,82.07867024918107,79.75796186191975,78.33648007110212,78.33648007110212,78.33648007110212,79.445144932637,80.77768111373899,80.6215310879774,80.6215310879774
boltons,56.01617437673723,55.21986008957715,54.567601666333175,54.43910092919679,54.45465605597651,54.45465605597651,54.423545802417074,53.88913157194352,53.70834359109804,53.71557879977316
borg,41.53759454716322,42.334390236036676,43.68538482212737,44.36737606175134,42.60337315478369,47.69868497806972,53.586443728976455,52.86683875095724,53.586443728976455,52.86683875095724
boto3,93.66614480226261,100.0,100.0,100.0,100.0,89.39036769959554,89.39036769959554,89.39036769959554,89.39036769959554,89.39036769959554
brython,58.34865366043938,58.34865366043938,58.261002755106595,58.261002755106595,58.22129754905483,58.25682247206259,58.25682247206259,59.141108717605526,59.141108717605526,59.141108717605526
buildbot,73.64867422459047,73.64867422459047,73.65909759776642,73.65909759776642,73.65909759776642,73.65909759776642,73.65909759776642,73.71454546832405,73.83982872604415,73.83982872604415
buku,24.30898673028417,23.721692545336634,21.277978050855584,19.38635224195002,13.725004797873218,12.521445361376257,12.15827453630701,3.3490758113626273,3.0613183889628623,8.296149299175005
cascadia-code,0,0,52.62746035570965,51.72672151593384,58.602015245896474,58.602015245896474,55.25101882510717,56.9502146994001,54.20499814849421,55.18302791373519
celery,69.86361249071946,58.87390995770113,58.87390995770113,58.79068886123813,58.79068886123813,58.71051566996618,58.48527828521792,58.48527828521792,58.59789697759205,58.48527828521792
